Component 1,Component 2,Component 3,country
2.799602,13.017969,1.186721,Afghanistan
-9.205319,-4.325788,1.1906996,Albania
-6.812179,-7.3073177,2.489861,Algeria
-10.957837,3.0694196,-1.5094295,Angola
1.5228206,-8.776777,-0.6109146,Antigua and Barbuda
0.8414864,-9.139787,0.53269345,Argentina
-10.401863,1.2995468,-0.42656556,Armenia
14.2448845,-2.1803904,-2.9676383,Australia
13.377407,-2.4819474,-2.157208,Austria
-3.3901916,-9.14355,2.7031033,Azerbaijan
7.7181907,-6.526502,-2.743124,Bahamas
8.15032,-7.032337,1.0625926,Bahrain
-2.008593,11.771101,1.6332581,Bangladesh
-0.115166225,-8.490697,-1.9459985,Barbados
-3.2551568,-9.174087,2.6550813,Belarus
12.669249,-3.1186473,-2.2405264,Belgium
-9.59936,-1.9023874,-0.86947393,Belize
0.88664407,12.304877,0.9165824,Benin
-9.643847,2.7396462,0.33306304,Bhutan
-9.292502,4.797697,-0.19146942,Bolivia
-9.123793,-4.6426506,0.32868597,Bosnia and Herzegovina
-5.452125,-7.919093,1.6570188,Botswana
-1.618533,-8.599462,-0.6503936,Brazil
15.092797,-2.0734544,0.89715374,Brunei
-3.6668003,-8.836191,1.9443032,Bulgaria
4.1115623,13.197482,0.924052,Burkina Faso
8.457568,14.78253,2.0127876,Burundi
-2.3582466,11.630053,1.6361743,Cambodia
-3.1351004,10.49274,0.56483036,Cameroon
13.2718935,-2.7671318,-2.7220933,Canada
-10.773441,3.211259,-1.3183371,Cape Verde
7.846442,14.305983,1.2426914,Central African Republic
0.2281051,11.894964,0.63763964,Chad
1.929248,-8.639889,-0.9121291,Chile
-8.934738,-4.127248,0.2948638,China
-7.046324,-6.4559712,-0.1050273,Colombia
4.217647,12.699901,-0.008368327,Comoros
8.895542,14.752631,1.461637,"Congo, Dem. Rep."
-10.037545,4.544794,-0.9672019,"Congo, Rep."
-4.724217,-7.8897457,0.19301726,Costa Rica
-3.1588008,10.595543,0.7213016,Cote d'Ivoire
2.529046,-8.536495,-0.9726753,Croatia
9.461429,-5.5908237,-1.9426084,Cyprus
6.5733395,-7.3150225,-1.1127263,Czech Republic
15.166817,-1.8881708,-2.7822585,Denmark
-7.4926534,-6.277974,0.69477135,Dominican Republic
-9.061278,-4.0565114,-0.04011137,Ecuador
-9.84955,-2.8916051,1.8840017,Egypt
-10.289325,0.39167458,0.43686858,El Salvador
6.776378,-7.460672,0.019355478,Equatorial Guinea
4.250357,13.673143,1.562651,Eritrea
4.180839,-8.242979,-0.69058245,Estonia
-10.094575,-0.29014823,-0.34971666,Fiji
12.905244,-3.0657866,-2.747984,Finland
11.470205,-4.1525936,-2.5235393,France
-2.75167,-8.726679,0.5588076,Gabon
2.4748814,12.92171,1.1653557,Gambia
-10.2549515,1.4801204,-0.04415812,Georgia
12.103585,-3.593791,-2.045885,Germany
-4.2852426,9.929776,0.5886765,Ghana
8.07388,-6.410323,-1.9881835,Greece
-6.211194,-6.965413,-0.44300956,Grenada
-10.121244,1.6735268,0.11236418,Guatemala
5.851727,13.464817,0.6030881,Guinea
4.5218835,13.238785,1.1337899,Guinea-Bissau
-10.523067,3.267907,-1.0250261,Guyana
3.5484438,12.652757,0.39864808,Haiti
3.7038083,-8.490779,-0.34083372,Hungary
11.865959,-3.7043052,-2.3889928,Iceland
